SampleID,Location,Site,Status,Position,Replicate,SoilType,USS.depth.cm,d15N,d13C_not_acidified,wt %TN,wt %TC,"acidified d13C (permil, vs VPDB)",acidified wt %N,acidified wt %C
Prince 41,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,6.88,,10.84,38.95,-14.5,,
Prince 60,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,6.850995149,,10.72,40.46,-14.58119432,,
Prince 65,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,5.400014746,,10.57,38.16,-14.82102262,,
Prince 69,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,6.883239158,,11.7,39.63,-14.44502062,,
Prince 72,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,6.070085557,,9.66,34.4,-14.4582315,,
Prince 75,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,7.231877505,,10.88,37.38,-14.59237276,,
Prince 85,Sesarma,Soft tissue,Soft tissue,Soft tissue,Soft tissue,Soft tissue,NA,7.713805613,,10.22,35.29,-14.21996531,,
Fore-gut-SF,SF,Gut,Gut,Fore-gut,Gut,Gut,NA,5.99,-16.1,5.06,34.13,-15.99,6.67,34.82
Fore-gut-SF,SF,Gut,Gut,Fore-gut,Gut,Gut,NA,5.91,-16.65,6.11,36.59,NA,NA,NA
Hind-gut-SF,SF,Gut,Gut,Hind-gut,Gut,Gut,NA,5.16,-15.1,0.92,20.1,-15.05,1.05,18.93
Fore-gut-SG,SG,Gut,Gut,Fore-gut,Gut,Gut,NA,6.07,-16.13,5.94,37.62,NA,NA,NA
Fore-gut-SG,SG,Gut,Gut,Fore-gut,Gut,Gut,NA,6.19,-16.09,5.76,37.38,-15.47,6.9,35.89
Hind-gut-SG,SG,Gut,Gut,Hind-gut,Gut,Gut,NA,5.22,-15.57,1.12,17.88,-15.36,1.42,17.66
Fore-gut-SM,SM,Gut,Gut,Fore-gut,Gut,Gut,NA,5.85,-16.2,6.35,37.41,-15.63,6.65,34.4
Fore-gut-SM,SM,Gut,Gut,Fore-gut,Gut,Gut,NA,5.83,-16.14,5.56,37.82,NA,NA,NA
Hind-gut-SM,SM,Gut,Gut,Hind-gut,Gut,Gut,NA,5.35,-15.57,0.96,17.37,-15.46,1.07,16.46
0m off DI rinsed Spartina A,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-14.09456462,,39.28
0m off DI rinsed Spartina B,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-14.03872866,,39.22
0m on DI rinsed Spartina A,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-13.8122828,,37.83
0m on DI rinsed Spartina B,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-13.75644684,,38.14
10 m off Spartina A,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,3.92,,1.65,42.18,-14.07388464,,34.86
10 m off Spartina B,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,3.81,,1.57,43.1,-13.9766887,,36.27
10 m off Spartina C,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,3.71,,1.61,41.35,-14.48748438,,41.19
10m on DI rinsed Spartina A,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-13.05849728,,41.11
10m on DI rinsed Spartina B,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-13.04919128,,40.93
20m off DI rinsed Spartina A,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-14.07698664,,39.02
20m off DI rinsed Spartina B,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-14.14419659,,39.4
20m on DI rinsed Spartina A,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-13.55481697,,39.76
20m on DI rinsed Spartina B,Spartina,Spartina,Spartina,Spartina,Spartina,Spartina,NA,,,,,-13.62512892,,39.57
